,batch_name,S_id,feature,CHIR_conc,label_24,delta_CHIR_conc_24,label_36,delta_CHIR_conc_36,label_48,delta_CHIR_conc_48
10,CD01-1,11,"[5.127961067997495, 5.490048449251937, 5.717364848136012, 0.5275601647981956, 0.507537856476921, 0.48960427598948825, 2.58182922746481, 2.6275101991135354, 2.6511101101317243, 0.9854655883538077, 0.9714781466610071, 0.9540710310319594, 1.0178056776527435, 1.1829760794611095, 1.3395964818662656, 0.9687372289454175, 0.8230146549503323, 0.713196444566811, 0.6893424, 0.6590211, 0.6436026]",4,low,-2,optimal,0,optimal,0
11,CD01-1,12,"[5.159203609097681, 5.508330239015163, 5.64902444303294, 0.5241184938913465, 0.49638679119825846, 0.4763912115978383, 2.5323626847558725, 2.573218433858999, 2.5783792084541113, 0.9646750099163345, 0.9403523800514472, 0.9032164983114582, 1.2104955394847896, 1.4598203372400196, 1.6528653079591362, 0.7989639624787415, 0.646344628176352, 0.5468199931559975, 0.7081459, 0.7032104, 0.6901822]",4,low,-2,optimal,0,optimal,0
12,CD01-1,13,"[5.238931210834891, 5.579650048105697, 5.700666870108388, 0.5374026654694504, 0.5173919186354171, 0.5034168853263964, 2.566519859853811, 2.6085882023704143, 2.614815045904731, 0.9631925855069134, 0.9397753229871987, 0.9163149686254075, 1.3098543234175668, 1.6577985870299916, 1.9381765910170703, 0.7392377934397912, 0.5689164854912101, 0.47365871557649, 0.7301229, 0.6671962, 0.6968558]",4,low,-2,optimal,0,optimal,0
13,CD01-1,14,"[5.065196028124823, 5.450482277144926, 5.715627135686769, 0.5391309138953903, 0.5227034668396306, 0.5034259930988436, 2.5828629727824914, 2.6282379745400175, 2.65754378281855, 0.9665718233601897, 0.9434857653737871, 0.9282616982999619, 1.1366008178152938, 1.346199157887934, 1.615969719051892, 0.8523366761504096, 0.7026085103805498, 0.5760630541956524, 0.7509788, 0.6857305, 0.70365524]",4,low,-2,optimal,0,optimal,0
14,CD01-1,15,"[4.988423011033514, 5.405794073472234, 5.6936883662419495, 0.5304363964382439, 0.5112317568343228, 0.48989665891348144, 2.567240773185107, 2.613069997268722, 2.6425103742795284, 0.9537033641745061, 0.9264889773595486, 0.9084986376525787, 1.0683271660731621, 1.2152599046920138, 1.459959771637074, 0.8941714660446113, 0.7634492340898543, 0.6245273239048754, 0.807032, 0.7462444, 0.7383964]",4,low,-2,optimal,0,optimal,0
15,CD01-1,16,"[5.004620853667818, 5.398356859740454, 5.726477920352022, 0.5415788459101072, 0.5220457636060011, 0.49679511269428883, 2.553318148389066, 2.594511710168121, 2.633246439846836, 0.9424989526384899, 0.9150547815750081, 0.8926208041291348, 0.9931075366894794, 1.1262951025208463, 1.2964793438180557, 0.9496190739565554, 0.8137622994789869, 0.6903829256080014, 0.8739723, 0.81057876, 0.81487864]",4,low,-2,optimal,0,optimal,0
16,CD01-1,17,"[4.866996046576526, 5.286167039925373, 5.642920000664031, 0.5478639836652278, 0.5307555432603562, 0.5044492941909184, 2.5357722168724033, 2.580776239216536, 2.623262795893289, 0.9430655704917568, 0.9143100741067559, 0.8793611303935815, 0.9942642861088576, 1.1326075312254484, 1.259012075423578, 0.9489110469525603, 0.8088130945751543, 0.6995312344021989, 0.8862318, 0.84779733, 0.8278103]",4,low,-2,optimal,0,optimal,0
17,CD01-1,18,"[5.009673749521427, 5.431102706833421, 5.73284283677295, 0.5445677976816903, 0.5198201281000234, 0.49074188992677586, 2.559235382580046, 2.60061605054722, 2.629684674654303, 0.9288701092334869, 0.9051731087687165, 0.8718276228723467, 0.9801273141692519, 1.0846252047585734, 1.215773215798605, 0.9479079137276031, 0.8357227545211637, 0.7180685020873676, 0.93014383, 0.8702625, 0.8824242]",4,low,-2,optimal,0,optimal,0
18,CD01-1,19,"[4.916973277748696, 5.310605142496686, 5.672816046909908, 0.5456774698389167, 0.528288997658251, 0.5041479287894935, 2.5234016863464275, 2.564153081092231, 2.6078358545713463, 0.9380647862371568, 0.9112150718362808, 0.8749890207872457, 0.995813939675699, 1.1347903178862613, 1.262612703352921, 0.9422754899282577, 0.8043479128117742, 0.6939772641776019, 0.97409767, 0.9103321, 0.88159734]",4,low,-2,optimal,0,optimal,0
19,CD01-1,20,"[4.850729926231816, 5.264420744842791, 5.6179856167273945, 0.5425165842913898, 0.5224175020013697, 0.4959107043376653, 2.5192575635962324, 2.5643981896920587, 2.604315099493974, 0.9323886805966511, 0.9109617116973892, 0.8598558253774873, 1.0140120807290842, 1.168358776488026, 1.2860450379659314, 0.9196390540418562, 0.7822076269220127, 0.6692540142514228, 0.9818031, 0.9341893, 0.9057927]",4,low,-2,optimal,0,optimal,0
