,batch_name,S_id,feature,CHIR_conc,label_24,delta_CHIR_conc_24,label_36,delta_CHIR_conc_36,label_48,delta_CHIR_conc_48
335,CD01-4,48,"[4.128386894643169, 4.2989999566064165, 4.57511972412044, 0.5383379041405058, 0.5311299896740626, 0.5188223911805888, 2.5425955290674125, 2.560464327630196, 2.592809164594868, 0.9597487447153324, 0.9470494233469536, 0.942107182167021, 1.0714595856071671, 0.9184254105609562, 0.864468829388978, 0.8993732910715014, 1.032126766755012, 1.0900932823114666, 0.9004949, 0.8720369, 0.8716584]",2,low,-2,low,-2,low,-2
90,CD01-1,91,"[5.094951274588048, 5.515365437265056, 5.638751363196293, 0.5440236780366379, 0.5055094504111876, 0.4765246328049075, 2.5288814345282455, 2.5843351191332347, 2.594887581300753, 0.9146019899273587, 0.8864384928222852, 0.8565462252643812, 1.1304975299281077, 1.524720470079311, 1.945487105913313, 0.8184698960496927, 0.5853085543468357, 0.44161100759109206, 1.0326588, 0.84898305, 0.9048642]",10,high,2,high,4,high,4
310,CD01-4,23,"[4.127176469849767, 4.329980570180434, 4.605721369828328, 0.5712425374471044, 0.5610819044600884, 0.5462175519312001, 2.530769819235916, 2.560616927783922, 2.6012242216718016, 0.9843765547352535, 0.9877385319552574, 0.9885308683930176, 1.0130763340371594, 0.7940065727317532, 0.722864183373146, 0.9759172618969357, 1.2460586003253318, 1.3677490632298197, 0.90894186, 0.8795558, 0.87009114]",2,low,-2,low,-2,low,-2
354,CD01-4,67,"[4.118410580052499, 4.44750495833238, 4.688214214273551, 0.5739194926576023, 0.5639423066395894, 0.5521106951331968, 2.5192029781367826, 2.5583357301827947, 2.5885049133123856, 0.9752421420335219, 0.9690821844104024, 0.9531617736046485, 0.9318565773399015, 0.7502403954060459, 0.7899101333428656, 1.061262930724132, 1.2919651950778985, 1.2078848867099012, 0.9449571, 0.91644996, 0.8940114]",6,optimal,0,optimal,0,optimal,0
380,CD01-4,93,"[4.158540541832133, 4.433769827927805, 4.6698267839257985, 0.5366921068568786, 0.525733298766102, 0.5126322617771207, 2.5376776001496766, 2.5678866975754535, 2.594732601422747, 0.9878407109266348, 0.974786432833186, 0.9526145601922305, 0.8414575414491317, 0.6892712783174189, 0.719185860340653, 1.1874317145015132, 1.4142481673773875, 1.3257962302352362, 0.9145392, 0.90511566, 0.8928995]",4,optimal,0,optimal,0,optimal,0
352,CD01-4,65,"[4.081958062165561, 4.404372161152939, 4.644902875632152, 0.579941798203472, 0.5690459207520494, 0.5569962661380422, 2.5092732385815375, 2.5461937327199826, 2.5749342096594923, 0.9867572262717386, 0.9810877563509257, 0.9648997638828366, 0.8548177911054721, 0.6215435855157886, 0.5875882455753126, 1.182206710767469, 1.579015092911397, 1.6421588277164443, 0.93653303, 0.90816146, 0.88506687]",8,optimal,0,optimal,0,optimal,0
366,CD01-4,79,"[4.121487524269274, 4.449014340874533, 4.65697135723834, 0.5792089999465003, 0.5676991300296761, 0.5564813087715968, 2.502831073676499, 2.539590450175723, 2.563509399790045, 0.9862879538637382, 0.9766831182285958, 0.9584916426100202, 0.804783022176009, 0.5888342432283602, 0.5955346924652206, 1.2542984543018707, 1.6593629005310875, 1.6105317916761004, 0.9655675, 0.9270127, 0.9104475]",8,optimal,0,optimal,0,optimal,0
4,CD01-1,5,"[4.910609109618155, 5.303015952970745, 5.612146841945399, 0.5276308137785051, 0.5010216724361457, 0.471934141859917, 2.5532273130832617, 2.5953128776569496, 2.623709785121026, 0.9782029078396942, 0.9630099666962493, 0.9126210211457334, 0.9670489823176716, 1.1073142547896098, 1.2645062744689888, 1.011937434812336, 0.8723643517709213, 0.7225880652909749, 0.89517975, 0.89390737, 0.842986]",4,low,-2,optimal,0,optimal,0
226,CD01-2,35,"[4.366972326198251, 4.62255674406994, 4.778909930862237, 0.5611936966007804, 0.5433387439467822, 0.530028178362683, 2.5248105755924324, 2.5519320939512835, 2.5665618290886454, 0.9546270320001555, 0.9283324275940348, 0.888072190040347, 0.9349549175574026, 0.9131117232692855, 0.9646019247113452, 1.0223233414270336, 1.0170075531040421, 0.9210337684525154, 0.9255445, 0.90488535, 0.9043092]",6,optimal,0,optimal,0,high,2
351,CD01-4,64,"[4.064581227980241, 4.374905782225443, 4.606988083029854, 0.5765057115733712, 0.5660063896766605, 0.5546488527790517, 2.5048993188405926, 2.5403019438121435, 2.568967788624286, 0.9728844543492237, 0.953597512752689, 0.9373407528571032, 0.9029713909094962, 0.7136717209241429, 0.7059878396711127, 1.0928527334776152, 1.337344697927094, 1.3278187113958264, 0.9621539, 0.92728376, 0.8892426]",10,optimal,0,optimal,0,optimal,0
